fir_number,date_reported,crime_time,description,status,station_name
FIR-003-0001,2026-01-19,09:18,"Phishing attack targeted employees at Residential Colony, credentials stolen",Pending Review,Cyber Crime Police Station
FIR-003-0002,2025-07-03,22:11,"Insurance fraud investigation launched at Shopping Mall, false claim of Rs.2,00,000",Pending Review,Cyber Crime Police Station
FIR-003-0003,2025-12-03,18:55,"Social engineering scam at Market Square, Rs.50,000 transferred fraudulently",Closed,Cyber Crime Police Station
FIR-003-0004,2026-01-22,13:23,"Construction material theft from site at Residential Colony, loss of Rs.2,00,000",Open,Cyber Crime Police Station
FIR-003-0005,2025-12-08,11:46,"Possession of narcotics found on suspect at Residential Colony, Rs.2,00,000 worth",Open,Cyber Crime Police Station
FIR-003-0006,2026-02-28,23:59,"Embezzlement of company funds amounting to Rs.5,00,000 at Temple Street",Under Investigation,Cyber Crime Police Station
FIR-003-0007,2025-09-12,08:36,Ganja cultivation discovered in farmland near Main Road,Open,Cyber Crime Police Station
FIR-003-0008,2025-07-19,01:56,"Chain snatching incident at School Zone, accused fled on motorcycle",Pending Review,Cyber Crime Police Station
FIR-003-0009,2025-07-23,02:45,"Fake online store fraud, victims lost Rs.75,000, operated from Shopping Mall",Pending Review,Cyber Crime Police Station
FIR-003-0010,2025-08-27,02:11,"Credit card fraud of Rs.1,00,000 reported from Market Square",Closed,Cyber Crime Police Station
FIR-003-0011,2026-06-19,22:48,"Office break-in at Residential Colony, electronics worth Rs.10,00,000 stolen",Closed,Cyber Crime Police Station
FIR-003-0012,2025-12-23,15:50,"Fake online store fraud, victims lost Rs.1,00,000, operated from School Zone",Open,Cyber Crime Police Station
FIR-003-0013,2025-10-12,04:01,"SIM swapping fraud reported at Market Square, bank accounts drained of Rs.2,00,000",Open,Cyber Crime Police Station
FIR-003-0014,2025-07-25,08:06,"Trespassing complaint filed at Railway Station, suspect identified",Open,Cyber Crime Police Station
FIR-003-0015,2025-07-27,02:56,Smuggling of controlled substances across border near Hospital Road,Open,Cyber Crime Police Station
FIR-003-0016,2026-05-10,02:07,"Homicide investigation at School Zone, body discovered in the morning",Open,Cyber Crime Police Station
FIR-003-0017,2026-06-16,20:51,"Pharmaceutical drug abuse case at Temple Street, 3 injections seized",Open,Cyber Crime Police Station
