fir_number,date_reported,crime_time,description,status,station_name
FIR-001-0001,2025-08-09,03:53,Illegal drug manufacturing lab discovered at Shopping Mall,Under Investigation,Central Police Station
FIR-001-0002,2026-02-24,01:32,"Fatal overdose case investigated at Industrial Area, substance identified",Pending Review,Central Police Station
FIR-001-0003,2026-02-20,06:05,"Insurance fraud investigation launched at Main Road, false claim of Rs.25,000",Pending Review,Central Police Station
FIR-001-0004,2025-10-03,13:02,Ganja cultivation discovered in farmland near School Zone,Under Investigation,Central Police Station
FIR-001-0005,2025-08-19,14:40,"Social engineering scam at School Zone, Rs.50,000 transferred fraudulently",Pending Review,Central Police Station
FIR-001-0006,2026-02-21,06:08,"Insurance fraud investigation launched at Shopping Mall, false claim of Rs.5,00,000",Closed,Central Police Station
FIR-001-0007,2026-04-15,17:02,"Drug peddling near school zone at Industrial Area, 5 juveniles involved",Open,Central Police Station
FIR-001-0008,2025-09-09,03:18,"Credit card fraud of Rs.5,00,000 reported from Residential Colony",Open,Central Police Station
FIR-001-0009,2026-06-17,16:35,"Armed robbery at Shopping Mall involving a firearm, loot worth Rs.50,000",Pending Review,Central Police Station
FIR-001-0010,2025-12-13,19:19,"Credit card fraud of Rs.25,000 reported from Industrial Area",Open,Central Police Station
FIR-001-0011,2026-04-20,17:58,"Ransomware attack on systems at Market Square, demand of Rs.10,00,000 in Bitcoin",Open,Central Police Station
FIR-001-0012,2025-07-28,02:27,"Extortion threat received by shopkeeper at Market Square, demanded Rs.1,00,000",Under Investigation,Central Police Station
FIR-001-0013,2026-02-20,17:12,"Pharmaceutical drug abuse case at Railway Station, 4 injections seized",Open,Central Police Station
FIR-001-0014,2026-05-28,20:55,Cyber stalking case filed by victim residing at Hospital Road,Closed,Central Police Station
FIR-001-0015,2025-08-19,06:32,"Loan default fraud of Rs.5,00,000 reported at Shopping Mall",Closed,Central Police Station
FIR-001-0016,2025-08-15,02:28,"Kidnapping of a 40-year-old near Hospital Road, ransom demand received",Open,Central Police Station
FIR-001-0017,2026-03-08,06:47,"Homicide investigation at Industrial Area, body discovered in the morning",Closed,Central Police Station
FIR-001-0018,2026-05-09,22:41,"Vehicle theft reported from Residential Colony, car valued at Rs.75,000",Under Investigation,Central Police Station
